Etapa_ensino,Ano,Qt_alunos_pnae
ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE),2013,248488
ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE),2014,281024
ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE),2015,302612
ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE),2016,326933
ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE),2017,326606
ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE),2018,354940
ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE),2019,391277
ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE),2020,476305
ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE),2021,455071
ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE),2022,482971
CRECHE,2003,874752
CRECHE,2004,964421
CRECHE,2005,1058237
CRECHE,2006,1112704
CRECHE,2007,1118317
CRECHE,2008,1229637
CRECHE,2009,1394599
CRECHE,2010,1525576
CRECHE,2011,1635514
CRECHE,2012,1795916
CRECHE,2013,2010652
CRECHE,2014,2140467
CRECHE,2015,2249923
CRECHE,2016,2376482
CRECHE,2017,2549716
CRECHE,2018,2702005
CRECHE,2019,2828548
CRECHE,2020,2972128
CRECHE,2021,3006355
CRECHE,2022,2879541
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2009,4157339
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2010,3933582
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2011,4122464
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2012,3464486
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2013,3767006
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2014,3611783
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2015,3434972
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2016,3067690
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2017,3262517
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2018,3353212
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2019,3290874
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2020,3043894
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2021,2794108
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2022,2690900
ENSINO FUNDAMENTAL,1999,35994409
ENSINO FUNDAMENTAL,2000,36640058
ENSINO FUNDAMENTAL,2001,36697031
ENSINO FUNDAMENTAL,2002,36366978
ENSINO FUNDAMENTAL,2003,35842686
ENSINO FUNDAMENTAL,2004,35226078
ENSINO FUNDAMENTAL,2005,34521502
ENSINO FUNDAMENTAL,2006,34170365
ENSINO FUNDAMENTAL,2007,34202558
ENSINO FUNDAMENTAL,2008,28915256
ENSINO FUNDAMENTAL,2009,28451700
ENSINO FUNDAMENTAL,2010,27822051
ENSINO FUNDAMENTAL,2011,26952020
ENSINO FUNDAMENTAL,2012,26124263
ENSINO FUNDAMENTAL,2013,25342759
ENSINO FUNDAMENTAL,2014,24549105
ENSINO FUNDAMENTAL,2015,23829700
ENSINO FUNDAMENTAL,2016,23142032
ENSINO FUNDAMENTAL,2017,22740192
ENSINO FUNDAMENTAL,2018,22401136
ENSINO FUNDAMENTAL,2019,22072559
ENSINO FUNDAMENTAL,2020,21875409
ENSINO FUNDAMENTAL,2021,21742587
ENSINO FUNDAMENTAL,2022,19796996
ENSINO MÉDIO,2009,7620336
ENSINO MÉDIO,2010,7568781
ENSINO MÉDIO,2011,7574459
ENSINO MÉDIO,2012,7603032
ENSINO MÉDIO,2013,7540698
ENSINO MÉDIO,2014,7445813
ENSINO MÉDIO,2015,7417056
ENSINO MÉDIO,2016,7181536
ENSINO MÉDIO,2017,7222301
ENSINO MÉDIO,2018,7045215
ENSINO MÉDIO,2019,6852449
ENSINO MÉDIO,2020,6586480
ENSINO MÉDIO,2021,6641406
ENSINO MÉDIO,2022,6431084
ENSINO MÉDIO INTEGRAL,2017,143737
ENSINO MÉDIO INTEGRAL,2018,213695
ENSINO MÉDIO INTEGRAL,2019,247637
ENSINO MÉDIO INTEGRAL,2020,348363
ENSINO MÉDIO INTEGRAL,2021,258320
ENSINO MÉDIO INTEGRAL,2022,319484
INDÍGENA,2003,113775
INDÍGENA,2004,132994
INDÍGENA,2005,132915
INDÍGENA,2006,146340
INDÍGENA,2007,147434
INDÍGENA,2008,179233
INDÍGENA,2009,199086
INDÍGENA,2010,221752
INDÍGENA,2011,238962
INDÍGENA,2012,226714
INDÍGENA,2013,236562
INDÍGENA,2014,226625
INDÍGENA,2015,236502
INDÍGENA,2016,257055
INDÍGENA,2017,255283
INDÍGENA,2018,254201
INDÍGENA,2019,255634
INDÍGENA,2020,256857
INDÍGENA,2021,245371
INDÍGENA,2022,259590
PRÉ-ESCOLA,2008,4070174
PRÉ-ESCOLA,2009,4069185
PRÉ-ESCOLA,2010,3935530
PRÉ-ESCOLA,2011,3752657
PRÉ-ESCOLA,2012,3678076
PRÉ-ESCOLA,2013,3700361
PRÉ-ESCOLA,2014,3756316
PRÉ-ESCOLA,2015,3814539
PRÉ-ESCOLA,2016,3771596
PRÉ-ESCOLA,2017,3912099
PRÉ-ESCOLA,2018,3967489
PRÉ-ESCOLA,2019,4002360
PRÉ-ESCOLA,2020,4056284
PRÉ-ESCOLA,2021,4134559
PRÉ-ESCOLA,2022,3996041
