Etapa_ensino,Ano,Qt_alunos_pnae
ENSINO FUNDAMENTAL,1999,35994409
ENSINO FUNDAMENTAL,2000,36640058
ENSINO FUNDAMENTAL,2001,36697031
ENSINO FUNDAMENTAL,2002,36366978
ENSINO FUNDAMENTAL,2003,35842686
ENSINO FUNDAMENTAL,2004,35226078
ENSINO FUNDAMENTAL,2005,34521502
ENSINO FUNDAMENTAL,2006,34170365
ENSINO FUNDAMENTAL,2007,34202558
ENSINO FUNDAMENTAL,2008,28915256
ENSINO FUNDAMENTAL,2009,28451700
ENSINO FUNDAMENTAL,2010,27822051
ENSINO FUNDAMENTAL,2011,26952020
ENSINO FUNDAMENTAL,2012,26124263
ENSINO FUNDAMENTAL,2013,25342759
ENSINO FUNDAMENTAL,2014,24549105
ENSINO FUNDAMENTAL,2015,23829700
ENSINO FUNDAMENTAL,2016,23142032
ENSINO FUNDAMENTAL,2017,22740192
ENSINO FUNDAMENTAL,2018,22401136
ENSINO FUNDAMENTAL,2019,22072559
ENSINO FUNDAMENTAL,2020,21875409
ENSINO FUNDAMENTAL,2021,21742587
ENSINO FUNDAMENTAL,2022,19796996
